muaman_store|x=45 y=15 w=96 h=12
النظاح|x=675 y=260 w=76 h=34
إعداد|x=761 y=260 w=65 h=30
الأول|x=638 y=304 w=34 h=21
المالك|x=678 y=307 w=46 h=13
حسا|x=730 y=307 w=48 h=13
إنشاء|x=783 y=307 w=38 h=19
يرجى|x=826 y=313 w=35 h=12
ألاسم|x=1367 y=351 w=33 h=17
لا17|x=1181 y=378 w=41 h=15
17Wمالك|x=1229 y=378 w=85 h=15
مالك|x=1316 y=378 w=45 h=15
المستخدم|x=1308 y=431 w=62 h=17
اسم|x=1375 y=431 w=24 h=17
owner17wO|x=1266 y=454 w=138 h=26
المرور|x=1330 y=511 w=37 h=15
كلمة|x=1373 y=511 w=28 h=11
....٠٠٠٠٠٠..|x=1259 y=544 w=103 h=5
ق|x=1380 y=533 w=21 h=27
المرور|x=1295 y=591 w=37 h=15
كلمة|x=1338 y=591 w=28 h=11
نأكيد|x=1371 y=588 w=29 h=16
٠٠٠٠٠٠٠٠٠٠.|x=1259 y=624 w=102 h=5
ق|x=1381 y=613 w=21 h=27
