muaman_store|x=45 y=15 w=96 h=12
مالك|x=69 y=69 w=31 h=14
l17W|x=105 y=68 w=40 h=14
174مالك|x=149 y=69 w=63 h=11
مالك|x=217 y=69 w=30 h=11
ج.|x=49 y=323 w=28 h=16
500|x=83 y=319 w=31 h=13
ج.|x=49 y=433 w=28 h=16
450|x=83 y=429 w=31 h=13
ج.٥|x=49 y=539 w=28 h=16
400|x=83 y=535 w=31 h=13
ج.|x=49 y=649 w=28 h=16
520|x=83 y=645 w=31 h=13
■|x=54 y=702 w=72 h=27
?•t|x=49 y=755 w=28 h=16
المرتحعات|x=342 y=245 w=64 h=14
أجمالي|x=411 y=245 w=42 h=16
المرتجعات|x=693 y=62 w=113 h=26
المرتجعات|x=688 y=131 w=123 h=28
المرنما|x=599 y=816 w=54 h=12
8|x=1111 y=207 w=15 h=22
المرتجعات|x=1072 y=245 w=64 h=15
عدد|x=1142 y=249 w=23 h=7
حبل|x=1263 y=315 w=37 h=20
فريند|x=1307 y=313 w=47 h=22
بوي|x=1361 y=320 w=34 h=20
26-07-2026|x=1267 y=343 w=80 h=11
التاريح:|x=1353 y=343 w=42 h=18
جم|x=1231 y=370 w=21 h=13
500|x=1258 y=366 w=25 h=11
السعر:|x=1289 y=366 w=38 h=15
ll|x=1333 y=366 w=13 h=14
الكمية:|x=1354 y=366 w=41 h=13
AIX|x=1278 y=426 w=34 h=20
تيشيرت|x=1319 y=426 w=76 h=20
24-07-2026|x=1267 y=454 w=80 h=11
التاريح:|x=1353 y=454 w=42 h=17
جم|x=1231 y=481 w=21 h=13
450|x=1257 y=477 w=26 h=11
السعر:|x=1289 y=477 w=38 h=15
ll|x=1333 y=477 w=13 h=14
الكمية:|x=1354 y=477 w=41 h=13
عرض|x=1207 y=532 w=49 h=18
فرى|x=1264 y=529 w=35 h=22
شيرت|x=1307 y=531 w=57 h=20
تي|x=1372 y=532 w=23 h=24
77-07-2026|x=1267 y=553 w=80 h=17
التاريح:|x=1353 y=559 w=42 h=18
جم|x=1231 y=586 w=21 h=13
400|x=1257 y=582 w=26 h=11
السعر:|x=1289 y=582 w=38 h=15
ll|x=1333 y=582 w=13 h=14
الكمية:|x=1354 y=582 w=41 h=13
اوريجينال|x=1184 y=642 w=84 h=20
XIO|x=1277 y=643 w=35 h=14
تيشيرت|x=1319 y=642 w=76 h=20
16-07-2026|x=1268 y=670 w=79 h=11
التاريح:|x=1353 y=670 w=42 h=17
جم|x=1231 y=697 w=21 h=13
520|x=1258 y=693 w=25 h=12
السعر:|x=1289 y=693 w=38 h=15
ll|x=1333 y=693 w=13 h=14
الكمية:|x=1354 y=693 w=41 h=13
م|x=1268 y=748 w=23 h=22
كتان|x=1298 y=747 w=41 h=20
سوت|x=1345 y=750 w=50 h=17
