muaman_store|x=45 y=15 w=96 h=12
مالك|x=69 y=69 w=31 h=14
l17W|x=105 y=68 w=40 h=14
174مالك|x=149 y=69 w=63 h=11
مالك|x=217 y=69 w=30 h=11
ج.|x=29 y=217 w=27 h=16
113299|x=63 y=213 w=60 h=13
الإجمالي:|x=129 y=213 w=69 h=21
c6OO..|x=54 y=270 w=65 h=20
c3OO..|x=54 y=380 w=65 h=20
c5OO..|x=54 y=490 w=65 h=20
ج.|x=54 y=600 w=28 h=16
430|x=88 y=596 w=31 h=13
جديدة|x=54 y=708 w=43 h=17
فاتورة|x=101 y=702 w=77 h=27
المبيعات|x=701 y=62 w=97 h=25
الباركود...|x=1231 y=145 w=73 h=19
أو|x=1311 y=140 w=11 h=24
بالاسم|x=1329 y=143 w=51 h=23
بحث|x=1383 y=143 w=42 h=23
q|x=1440 y=142 w=22 h=22
225|x=1326 y=213 w=30 h=13
العملبات:|x=1362 y=213 w=74 h=17
عدد|x=1442 y=217 w=28 h=9
فيجس|x=1287 y=264 w=61 h=22
بولو|x=1356 y=266 w=34 h=20
26-07-2026|x=1262 y=294 w=80 h=11
التاريح:|x=1348 y=294 w=42 h=17
جم|x=1226 y=321 w=20 h=13
600|x=1252 y=317 w=26 h=11
السعر:|x=1284 y=317 w=38 h=15
ll|x=1328 y=317 w=13 h=14
الكمية:|x=1349 y=317 w=41 h=13
جديد|x=1280 y=381 w=44 h=15
شورت|x=1331 y=376 w=59 h=20
26-07-2026|x=1262 y=404 w=80 h=11
التاريح:|x=1348 y=404 w=42 h=17
جم|x=1226 y=431 w=21 h=13
300|x=1253 y=427 w=25 h=11
السعر:|x=1284 y=427 w=38 h=15
ll|x=1328 y=427 w=13 h=14
الكمية:|x=1349 y=427 w=41 h=13
GPS|x=1209 y=488 w=38 h=14
جبردين|x=1254 y=491 w=65 h=16
بنطلون|x=1326 y=487 w=64 h=20
26-07-2026|x=1262 y=515 w=80 h=11
التاريح:|x=1348 y=515 w=42 h=17
جم|x=1226 y=542 w=21 h=13
500|x=1253 y=538 w=25 h=11
السعر:|x=1284 y=538 w=38 h=15
ll|x=1328 y=538 w=13 h=14
الكمية:|x=1349 y=538 w=41 h=13
جديد|x=1242 y=597 w=44 h=15
كتان|x=1293 y=592 w=40 h=20
سوت|x=1340 y=595 w=50 h=17
26-07-2026|x=1262 y=620 w=80 h=11
التاريح:|x=1348 y=620 w=42 h=17
جم|x=1226 y=647 w=21 h=13
430|x=1252 y=643 w=26 h=11
السعر:|x=1284 y=643 w=38 h=15
ll|x=1328 y=643 w=13 h=14
الكمية:|x=1349 y=643 w=41 h=13
سادة|x=1265 y=701 w=46 h=16
ليج|x=1318 y=702 w=29 h=23
وايد|x=1355 y=702 w=35 h=20
26-07-2026|x=1262 y=730 w=80 h=11
التاريح:|x=1348 y=730 w=42 h=18
جم|x=1226 y=757 w=21 h=13
500|x=1253 y=753 w=25 h=11
السعر:|x=1284 y=753 w=38 h=15
ll|x=1328 y=753 w=13 h=14
الكمية:|x=1349 y=753 w=41 h=14
