muaman_store|x=45 y=15 w=96 h=12
المستخدمين|x=643 y=61 w=154 h=28
إدارة|x=805 y=61 w=53 h=30
جديد|x=658 y=172 w=57 h=20
مستخدم|x=724 y=170 w=99 h=29
إنشاء|x=834 y=166 w=61 h=31
17W|x=1204 y=145 w=43 h=15
17Wمالك|x=1254 y=145 w=89 h=15
مالك|x=1351 y=145 w=44 h=15
أنت|x=1229 y=173 w=24 h=14
مالك|x=1259 y=176 w=38 h=14
lowner17w@|x=1303 y=176 w=92 h=14
ألاسم|x=846 y=211 w=33 h=17
17W|x=781 y=238 w=41 h=15
كاشير|x=828 y=239 w=48 h=19
المستخدم|x=787 y=286 w=62 h=17
اسم|x=854 y=286 w=24 h=17
cashier17w|x=772 y=313 w=104 h=15
المرور|x=809 y=361 w=37 h=15
كلمة|x=852 y=361 w=28 h=11
المرور|x=774 y=436 w=37 h=15
كلمة|x=817 y=436 w=28 h=11
نأكيد|x=850 y=433 w=29 h=16
الدور|x=849 y=512 w=30 h=15
فقط|x=715 y=539 w=35 h=14
مبيعات|x=757 y=539 w=60 h=18
موظف|x=824 y=539 w=55 h=19
نشط|x=791 y=614 w=40 h=14
حسا|x=838 y=614 w=56 h=18
إلفاء|x=731 y=694 w=31 h=19
إنشاء|x=635 y=694 w=37 h=19
جديد|x=54 y=782 w=34 h=13
مستخدم|x=93 y=780 w=60 h=19
