muaman_store|x=45 y=15 w=96 h=12
1|x=26 y=749 w=5 h=13
المنتحات:|x=40 y=749 w=71 h=13
عدد|x=117 y=753 w=27 h=9
ألييع|x=380 y=337 w=27 h=18
لمععر|x=412 y=342 w=27 h=10
100|x=369 y=364 w=33 h=15
C.م|x=412 y=370 w=27 h=17
جديدة|x=639 y=60 w=72 h=28
فاتورة|x=718 y=59 w=69 h=30
إنشاء|x=795 y=60 w=66 h=31
الفاتورة|x=778 y=203 w=64 h=21
سلة|x=849 y=202 w=36 h=17
17W|x=739 y=273 w=38 h=13
اختبار|x=781 y=273 w=44 h=17
منتج|x=831 y=275 w=37 h=18
2000000000087|x=710 y=316 w=114 h=11
باركود:|x=830 y=316 w=38 h=14
الكمية:|x=820 y=365 w=48 h=17
ج.|x=683 y=422 w=27 h=16
IOO|x=717 y=418 w=29 h=13
العنصر:|x=752 y=418 w=58 h=17
إجمالي|x=816 y=418 w=53 h=21
العميل|x=798 y=587 w=42 h=15
اسم|x=846 y=587 w=24 h=17
الباركود|x=1159 y=145 w=56 h=19
أو|x=1222 y=140 w=13 h=24
بالاسم|x=1241 y=145 w=50 h=22
صنف|x=1298 y=147 w=46 h=13
عن|x=1350 y=149 w=24 h=15
ابحث|x=1381 y=145 w=44 h=18
q|x=1440 y=142 w=22 h=22
2000000000080|x=1020 y=249 w=104 h=10
LV|x=1065 y=350 w=20 h=13
شيرت|x=1090 y=349 w=50 h=18
تي|x=1145 y=350 w=21 h=21
2000000000082|x=1020 y=378 w=104 h=10
باركود:|x=1130 y=378 w=35 h=13
جديد|x=1039 y=479 w=37 h=13
كتان|x=1082 y=475 w=35 h=17
سوت|x=1122 y=477 w=44 h=15
2000000000084|x=1020 y=504 w=105 h=11
باركود:|x=1130 y=504 w=35 h=13
كتان|x=1023 y=603 w=35 h=17
سوت|x=1063 y=605 w=44 h=15
قميص|x=1113 y=601 w=52 h=19
2000000000086|x=1020 y=632 w=104 h=10
باركود:|x=1130 y=632 w=35 h=13
نقدى|x=501 y=616 w=42 h=21
17W|x=552 y=613 w=41 h=15
تجريبي|x=600 y=616 w=56 h=21
J217W|x=664 y=613 w=64 h=20
تجريبي|x=735 y=616 w=56 h=21
عمعميل|x=799 y=614 w=67 h=19
الدفع|x=797 y=661 w=31 h=18
طريقه|x=834 y=661 w=37 h=14
نقدي|x=830 y=692 w=40 h=21
ج.م|x=671 y=754 w=31 h=18
IOO|x=709 y=749 w=33 h=15
الفاتورة:|x=750 y=748 w=69 h=21
إجمالي|x=826 y=749 w=60 h=25
الفاتورة|x=411 y=798 w=49 h=17
حفظ|x=465 y=798 w=34 h=13
المخزن|x=1339 y=204 w=61 h=20
منتجات|x=1407 y=204 w=68 h=20
2000000000079|x=1313 y=249 w=104 h=10
باركود:|x=1423 y=249 w=35 h=13
ديور|x=1307 y=351 w=33 h=13
فري|x=1346 y=345 w=31 h=23
شيرت|x=1383 y=346 w=50 h=18
تي|x=1438 y=347 w=21 h=21
2000000000081|x=1313 y=376 w=102 h=10
باركود:|x=1423 y=376 w=35 h=13
جديد|x=1364 y=479 w=38 h=13
شورت|x=1407 y=474 w=52 h=18
2000000000083|x=1313 y=504 w=104 h=10
باركود:|x=1423 y=504 w=35 h=13
جديد|x=1323 y=607 w=38 h=13
كتان|x=1366 y=603 w=35 h=17
قميص|x=1406 y=601 w=52 h=19
20OOOO0OOOO8S|x=1313 y=632 w=104 h=10
باركود|x=1423 y=632 w=35 h=13
17W|x=1329 y=733 w=38 h=13
اختبار|x=1371 y=733 w=44 h=17
منتج|x=1421 y=735 w=37 h=18
2000000000087|x=1313 y=761 w=104 h=10
باركود:|x=1423 y=761 w=35 h=13
