muaman_store|x=45 y=15 w=96 h=12
مالك|x=69 y=68 w=32 h=14
l17W|x=105 y=68 w=40 h=14
17مالك|x=149 y=68 w=48 h=11
مالك|x=202 y=68 w=31 h=11
396|x=30 y=283 w=30 h=13
المخزون:|x=66 y=283 w=67 h=17
إجمالي|x=140 y=283 w=53 h=21
صنف|x=54 y=709 w=41 h=12
إضافة|x=100 y=707 w=43 h=20
-|x=158 y=707 w=19 h=18
المخزن|x=712 y=62 w=75 h=27
المخزن|x=709 y=131 w=82 h=28
الباركود...|x=1231 y=215 w=73 h=19
أو|x=1311 y=210 w=11 h=24
بالاسم|x=1329 y=213 w=51 h=23
بحث|x=1383 y=213 w=42 h=23
q|x=1440 y=212 w=22 h=22
87|x=1341 y=283 w=19 h=13
الأصناف:|x=1366 y=280 w=70 h=16
عدد|x=1442 y=287 w=28 h=9
تركي|x=1164 y=337 w=42 h=24
2سوستة|x=1213 y=334 w=82 h=22
شيرت|x=1302 y=336 w=57 h=20
تي|x=1367 y=337 w=23 h=24
2000000000001|x=1232 y=364 w=111 h=11
ناركود:|x=1352 y=364 w=38 h=15
قصات|x=1181 y=444 w=58 h=17
بلانكو|x=1246 y=446 w=48 h=20
شيرت|x=1302 y=446 w=57 h=20
تي|x=1367 y=447 w=23 h=24
2000000000002|x=1232 y=474 w=114 h=11
ناركود:|x=1352 y=474 w=38 h=15
فوح|x=1135 y=554 w=32 h=25
طباعة|x=1175 y=554 w=53 h=22
حورس|x=1235 y=561 w=60 h=15
شيرت|x=1302 y=556 w=57 h=20
تي|x=1367 y=557 w=23 h=24
2000000000003|x=1232 y=584 w=114 h=11
ناركود:|x=1352 y=584 w=38 h=14
كويك|x=1247 y=666 w=48 h=20
شيرت|x=1302 y=666 w=57 h=20
تي|x=1367 y=667 w=23 h=24
2000000000004|x=1232 y=694 w=114 h=11
ناركود:|x=1352 y=694 w=38 h=14
