muaman_store|x=45 y=15 w=96 h=12
مالك|x=69 y=68 w=32 h=14
l17W|x=105 y=68 w=40 h=14
17مالك|x=149 y=68 w=48 h=11
مالك|x=202 y=68 w=31 h=11
ج.|x=29 y=217 w=27 h=16
113399|x=63 y=213 w=60 h=13
الإجمالي:|x=129 y=213 w=69 h=21
?•C|x=54 y=274 w=28 h=21
100|x=89 y=270 w=30 h=13
c6OO..|x=54 y=376 w=65 h=20
c3OO..|x=54 y=486 w=65 h=20
c5OO..|x=54 y=596 w=65 h=20
جديدة|x=54 y=708 w=43 h=17
فاتورة|x=101 y=702 w=77 h=27
المبيعات|x=701 y=62 w=97 h=25
الباركود...|x=1231 y=145 w=73 h=19
أو|x=1311 y=140 w=11 h=24
بالاسم|x=1329 y=143 w=51 h=23
بحث|x=1383 y=143 w=42 h=23
q|x=1440 y=142 w=22 h=22
226|x=1326 y=213 w=30 h=13
العملبات:|x=1362 y=213 w=74 h=17
عدد|x=1442 y=217 w=28 h=9
17W|x=1239 y=267 w=43 h=15
اختبار|x=1288 y=267 w=51 h=20
منتج|x=1346 y=270 w=44 h=20
13-08-2026|x=1263 y=295 w=79 h=11
التاريح:|x=1348 y=295 w=42 h=18
جم|x=1226 y=322 w=21 h=13
IOO|x=1253 y=318 w=25 h=11
السعر:|x=1284 y=318 w=38 h=15
ll|x=1328 y=318 w=13 h=14
الكمية:|x=1349 y=318 w=41 h=13
فيجس|x=1287 y=370 w=61 h=22
بولو|x=1356 y=372 w=34 h=20
26-07-2026|x=1262 y=400 w=80 h=11
التاريح:|x=1348 y=400 w=42 h=18
جم|x=1226 y=427 w=20 h=13
600|x=1252 y=423 w=26 h=11
السعر:|x=1284 y=423 w=38 h=15
ll|x=1328 y=423 w=13 h=14
الكمية:|x=1349 y=423 w=41 h=13
جديد|x=1280 y=487 w=43 h=15
شورت|x=1331 y=482 w=59 h=20
26-07-2026|x=1262 y=510 w=80 h=11
التاريح:|x=1348 y=510 w=42 h=17
جم|x=1226 y=537 w=21 h=13
300|x=1253 y=533 w=25 h=11
السعر:|x=1284 y=533 w=38 h=15
ll|x=1328 y=533 w=13 h=14
الكمية:|x=1349 y=533 w=41 h=13
GPS|x=1209 y=594 w=38 h=14
جبردين|x=1254 y=597 w=65 h=16
بنطلون|x=1326 y=593 w=64 h=20
26-07-2026|x=1262 y=621 w=80 h=11
التاريح:|x=1348 y=621 w=42 h=17
جم|x=1226 y=648 w=21 h=13
500|x=1253 y=644 w=25 h=11
السعر:|x=1284 y=644 w=38 h=15
ll|x=1328 y=644 w=13 h=14
الكمية:|x=1349 y=644 w=41 h=13
جديد|x=1242 y=704 w=44 h=15
كتان|x=1293 y=699 w=40 h=20
سوت|x=1340 y=702 w=50 h=17
26-07-2026|x=1262 y=727 w=80 h=11
التاريح:|x=1348 y=727 w=42 h=18
جم|x=1226 y=754 w=21 h=13
430|x=1252 y=750 w=26 h=11
السعر:|x=1284 y=750 w=38 h=15
ll|x=1328 y=750 w=13 h=14
الكمية:|x=1349 y=750 w=41 h=13
