muaman_store|x=45 y=15 w=96 h=12
فقط|x=21 y=61 w=76 h=24
مبيعات|x=99 y=68 w=49 h=14
موظف|x=153 y=68 w=42 h=15
l17W|x=201 y=68 w=39 h=14
كاشير|x=244 y=68 w=36 h=15
المبيعات|x=697 y=61 w=105 h=28
جديدة|x=639 y=464 w=59 h=23
بيع|x=705 y=470 w=29 h=20
فاتورة|x=741 y=462 w=57 h=24
إنشاء|x=806 y=463 w=56 h=25
فقط|x=648 y=504 w=27 h=11
للمالك|x=680 y=504 w=40 h=11
متاح|x=725 y=504 w=28 h=18
الميعات|x=758 y=504 w=55 h=13
سجل|x=819 y=504 w=32 h=15
جديدة|x=682 y=567 w=46 h=18
فاتورة|x=733 y=566 w=45 h=21
