muaman_store|x=45 y=15 w=96 h=12
مالك|x=69 y=69 w=31 h=14
l17W|x=105 y=68 w=40 h=14
174مالك|x=149 y=69 w=63 h=11
مالك|x=217 y=69 w=30 h=11
ج.|x=29 y=217 w=27 h=16
IOO|x=63 y=213 w=29 h=13
الإجمالي:|x=98 y=213 w=69 h=21
?•C|x=54 y=274 w=28 h=21
100|x=89 y=270 w=30 h=13
جديدة|x=54 y=708 w=43 h=17
فاتورة|x=101 y=702 w=77 h=27
المبيعات|x=701 y=62 w=97 h=25
الباركود...|x=1231 y=145 w=73 h=19
أو|x=1311 y=140 w=11 h=24
بالاسم|x=1329 y=143 w=51 h=23
بحث|x=1383 y=143 w=42 h=23
q|x=1440 y=142 w=22 h=22
1|x=1347 y=213 w=7 h=13
العملبات:|x=1362 y=213 w=74 h=17
عدد|x=1442 y=217 w=28 h=9
17W|x=1239 y=267 w=43 h=15
اختبار|x=1288 y=267 w=51 h=20
منتج|x=1346 y=270 w=44 h=20
16-08-2026|x=1263 y=295 w=79 h=11
التاريح:|x=1348 y=295 w=42 h=18
جم|x=1226 y=322 w=21 h=13
IOO|x=1253 y=318 w=25 h=11
السعر:|x=1284 y=318 w=38 h=15
ll|x=1328 y=318 w=13 h=14
الكمية:|x=1349 y=318 w=41 h=13
