muaman_store|x=45 y=15 w=96 h=12
1|x=26 y=749 w=5 h=13
المنتحات:|x=40 y=749 w=71 h=13
عدد|x=117 y=753 w=27 h=9
ألييع|x=380 y=337 w=27 h=18
لمععر|x=412 y=342 w=27 h=10
100|x=369 y=364 w=33 h=15
C.م|x=412 y=370 w=27 h=17
جديدة|x=639 y=60 w=72 h=28
فاتورة|x=718 y=59 w=69 h=30
إنشاء|x=795 y=60 w=66 h=31
الفاتورة|x=778 y=203 w=64 h=21
سلة|x=849 y=202 w=36 h=17
17W|x=739 y=273 w=38 h=13
اختبار|x=781 y=273 w=44 h=17
منتج|x=831 y=275 w=37 h=18
2000000000001|x=710 y=316 w=111 h=11
باركود:|x=830 y=316 w=38 h=14
الكمة|x=714 y=360 w=154 h=26
ج.|x=683 y=422 w=27 h=16
IOO|x=717 y=418 w=29 h=13
العنصر:|x=752 y=418 w=58 h=17
إجمالي|x=816 y=418 w=53 h=21
العميل|x=798 y=587 w=42 h=15
اسم|x=846 y=587 w=24 h=17
نقدى|x=480 y=616 w=43 h=21
17W|x=532 y=613 w=41 h=15
تجريبي|x=579 y=616 w=57 h=21
17Wميل|x=643 y=613 w=77 h=20
تجريبي|x=727 y=616 w=56 h=21
عميعميل|x=791 y=614 w=75 h=19
الدفع|x=797 y=661 w=31 h=18
طريقه|x=834 y=661 w=37 h=14
نقدي|x=830 y=692 w=40 h=21
ج.م|x=671 y=754 w=31 h=18
IOO|x=709 y=749 w=33 h=15
الفاتورة:|x=750 y=748 w=69 h=21
إجمالي|x=826 y=749 w=60 h=25
الباركود|x=1159 y=145 w=56 h=19
أو|x=1222 y=140 w=13 h=24
بالاسم|x=1241 y=145 w=50 h=22
صنف|x=1298 y=147 w=46 h=13
عن|x=1350 y=149 w=24 h=15
ابحث|x=1381 y=145 w=44 h=18
q|x=1440 y=142 w=22 h=22
المخزن|x=1339 y=204 w=61 h=20
منتجات|x=1407 y=204 w=68 h=20
17W|x=1329 y=262 w=38 h=13
اختبار|x=1371 y=262 w=44 h=17
منتج|x=1421 y=264 w=37 h=18
2000000000001|x=1313 y=290 w=102 h=10
باركود:|x=1423 y=290 w=35 h=13
الفاتورة|x=411 y=798 w=49 h=17
حفظ|x=465 y=798 w=34 h=13
