PDF|x=101 y=14 w=25 h=11
Organize|x=31 y=117 w=60 h=14
•|x=97 y=120 w=7 h=4
x|x=924 y=13 w=12 h=12
islam|x=238 y=64 w=33 h=11
Name|x=247 y=153 w=39 h=11
Personal|x=287 y=64 w=53 h=11
Documents|x=369 y=64 w=74 h=11
New|x=142 y=117 w=29 h=11
folder|x=175 y=117 w=40 h=11
Status|x=557 y=153 w=39 h=11
Search|x=697 y=65 w=42 h=11
Documents|x=745 y=65 w=74 h=11
Date|x=657 y=153 w=31 h=11
modified|x=693 y=153 w=59 h=11
5/25/2026|x=657 y=195 w=67 h=13
5:28|x=729 y=195 w=26 h=11
PM|x=760 y=195 w=19 h=11
8/9/2026|x=656 y=236 w=60 h=13
11:41|x=721 y=236 w=32 h=11
PM|x=760 y=236 w=19 h=11
5/23/2026|x=657 y=277 w=67 h=13
6:06|x=729 y=277 w=26 h=11
PM|x=760 y=277 w=19 h=11
6/1/2026|x=657 y=318 w=59 h=13
12:57|x=721 y=318 w=34 h=11
AM|x=759 y=318 w=22 h=11
Save|x=735 y=548 w=30 h=11
p|x=905 y=64 w=14 h=14
Documents|x=88 y=157 w=74 h=11
R|x=63 y=193 w=18 h=18
Pictures|x=88 y=197 w=50 h=11
Desktop|x=78 y=277 w=54 h=14
Downloads|x=78 y=317 w=74 h=11
Documents|x=78 y=357 w=74 h=11
File|x=94 y=411 w=22 h=11
name:|x=121 y=414 w=38 h=8
nvoice|x=178 y=410 w=41 h=11
INV|x=227 y=410 w=23 h=11
Cline|x=257 y=195 w=33 h=11
Exports|x=258 y=236 w=48 h=14
New|x=258 y=277 w=29 h=11
project|x=292 y=277 w=46 h=14
paq|x=258 y=359 w=26 h=9
IR|x=291 y=359 w=12 h=9
-|x=251 y=416 w=4 h=1
1786843890049.pdf|x=258 y=410 w=128 h=14
Save|x=76 y=442 w=30 h=11
as|x=111 y=445 w=13 h=8
type:|x=128 y=443 w=32 h=13
Files|x=171 y=442 w=28 h=11
(".pdf)|x=204 y=442 w=40 h=14
Hide|x=44 y=552 w=31 h=11
Folders|x=80 y=552 w=47 h=11
Type|x=836 y=153 w=31 h=14
File|x=837 y=195 w=22 h=11
folder|x=863 y=195 w=40 h=11
File|x=837 y=236 w=22 h=11
folder|x=863 y=236 w=40 h=11
File|x=837 y=277 w=22 h=11
folder|x=863 y=277 w=40 h=11
File|x=837 y=318 w=22 h=11
folder|x=863 y=318 w=40 h=11
fnldpr|x=863 y=359 w=40 h=9
Cancel|x=853 y=548 w=43 h=11
