muaman_store|x=45 y=15 w=96 h=12
مالك|x=69 y=69 w=31 h=14
l17W|x=105 y=68 w=40 h=14
174مالك|x=149 y=69 w=63 h=11
مالك|x=217 y=69 w=30 h=11
20|x=30 y=283 w=19 h=13
المخزون:|x=56 y=283 w=67 h=17
إجمالي|x=129 y=283 w=53 h=21
صنف|x=54 y=709 w=41 h=12
إضافة|x=100 y=707 w=43 h=20
-|x=158 y=707 w=19 h=18
المخزن|x=712 y=62 w=75 h=27
المخزن|x=709 y=131 w=82 h=28
الباركود...|x=1231 y=215 w=73 h=19
أو|x=1311 y=210 w=11 h=24
بالاسم|x=1329 y=213 w=51 h=23
بحث|x=1383 y=213 w=42 h=23
q|x=1440 y=212 w=22 h=22
1|x=1352 y=283 w=6 h=13
الأصناف:|x=1366 y=280 w=70 h=16
عدد|x=1442 y=287 w=28 h=9
17W|x=1239 y=337 w=43 h=15
اختبار|x=1288 y=337 w=51 h=20
منتج|x=1346 y=340 w=44 h=20
2000000000001|x=1232 y=365 w=111 h=11
ناركود:|x=1352 y=365 w=38 h=15
