PDF|x=101 y=14 w=25 h=11
Organize|x=31 y=117 w=60 h=14
•|x=97 y=120 w=7 h=4
Local|x=238 y=64 w=33 h=11
Name|x=247 y=153 w=39 h=11
Temp|x=299 y=64 w=36 h=14
muaman|x=364 y=67 w=57 h=8
17w|x=428 y=64 w=26 h=11
pdf|x=482 y=64 w=22 h=14
New|x=142 y=117 w=29 h=11
folder|x=175 y=117 w=40 h=11
Documents|x=88 y=157 w=74 h=11
R|x=63 y=193 w=18 h=18
Pictures|x=88 y=197 w=50 h=11
Desktop|x=78 y=277 w=54 h=14
Downloads|x=78 y=317 w=74 h=11
Documents|x=78 y=357 w=74 h=11
R|x=53 y=393 w=18 h=18
Pictures|x=78 y=397 w=50 h=11
Date|x=557 y=153 w=31 h=11
modified|x=593 y=153 w=59 h=11
No|x=487 y=198 w=18 h=11
items|x=511 y=198 w=35 h=11
match|x=551 y=198 w=39 h=11
your|x=595 y=201 w=29 h=11
search.|x=628 y=198 w=44 h=11
File|x=94 y=456 w=22 h=11
name:|x=120 y=459 w=40 h=10
invoice_17w_acceptance.pd|x=174 y=455 w=180 h=14
Save|x=76 y=487 w=30 h=11
as|x=111 y=490 w=13 h=8
type:|x=128 y=488 w=32 h=13
Files|x=171 y=487 w=28 h=11
(".pdf)|x=204 y=487 w=40 h=14
Hide|x=44 y=552 w=31 h=11
Folders|x=80 y=552 w=47 h=11
Search|x=697 y=65 w=42 h=11
pdf|x=745 y=65 w=22 h=14
Type|x=736 y=153 w=31 h=14
Save|x=735 y=548 w=30 h=11
x|x=924 y=13 w=12 h=12
p|x=905 y=64 w=14 h=14
Size|x=887 y=153 w=26 h=11
Cancel|x=853 y=548 w=43 h=11
