muaman_store|x=45 y=15 w=96 h=12
مالك|x=69 y=69 w=31 h=14
l17W|x=105 y=68 w=40 h=14
174مالك|x=149 y=69 w=63 h=11
مالك|x=217 y=69 w=30 h=11
O|x=30 y=283 w=9 h=13
المخزون:|x=45 y=283 w=68 h=17
إجمالي|x=119 y=283 w=53 h=21
صنف|x=54 y=709 w=41 h=12
إضافة|x=100 y=707 w=43 h=20
-|x=158 y=707 w=18 h=18
المخزن|x=712 y=62 w=75 h=27
المخزن|x=709 y=131 w=82 h=28
جديد|x=680 y=286 w=57 h=20
صنف|x=746 y=281 w=68 h=20
إضافة|x=825 y=278 w=70 h=31
المنتج|x=788 y=352 w=52 h=21
اسم|x=846 y=352 w=32 h=22
التكلفة|x=781 y=427 w=56 h=14
سعر|x=844 y=433 w=35 h=13
ة|x=776 y=474 w=103 h=13
إلفاء|x=737 y=582 w=31 h=19
الباركود...|x=1231 y=215 w=72 h=19
أو|x=1311 y=210 w=11 h=24
بالاسم|x=1329 y=215 w=51 h=22
بحث|x=1383 y=215 w=42 h=22
Q|x=1440 y=212 w=22 h=21
O|x=1351 y=283 w=9 h=13
الأصناف:|x=1367 y=280 w=69 h=16
عدد|x=1442 y=287 w=28 h=9
إضافة|x=635 y=582 w=42 h=19
