ControlType.Window | Name="حفظ الفاتورة PDF" | AutomationId="" | enabled=True | offscreen=False | x=0 y=0 w=960 h=600
  ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=9 y=103 w=942 h=411
    ControlType.ToolBar | Name="Command Module" | AutomationId="FolderBandModuleInner" | enabled=True | offscreen=False | x=9 y=103 w=942 h=39
      ControlType.Button | Name="&Help" | AutomationId="HelpButton" | enabled=True | offscreen=False | x=904 y=106 w=36 h=32
      ControlType.SplitButton | Name="Details" | AutomationId="ViewControl" | enabled=True | offscreen=False | x=826 y=106 w=68 h=32
        ControlType.Button | Name="View Slider" | AutomationId="SplitMenuButton" | enabled=True | offscreen=False | x=861 y=106 w=20 h=32
      ControlType.Button | Name="Organize" | AutomationId="{7DDC1264-7E4D-4F74-BBC0-D191987C8D0F}" | enabled=True | offscreen=False | x=13 y=106 w=110 h=32
      ControlType.Button | Name="New folder" | AutomationId="{E44616AD-6DF1-4B94-85A4-E465AE8A19DB}" | enabled=True | offscreen=False | x=123 y=106 w=110 h=32
    ControlType.Pane | Name="Control Host" | AutomationId="ProperTreeHost" | enabled=True | offscreen=False | x=12 y=142 w=192 h=292
      ControlType.Pane | Name="Navigation Pane" | AutomationId="100" | enabled=True | offscreen=False | x=12 y=142 w=192 h=292
    ControlType.Pane | Name="Shell Folder View" | AutomationId="listview" | enabled=True | offscreen=False | x=209 y=142 w=742 h=292
      ControlType.List | Name="Items View" | AutomationId="" | enabled=True | offscreen=False | x=209 y=142 w=742 h=292
        ControlType.Pane | Name="Horizontal" | AutomationId="HorizontalScrollBar" | enabled=True | offscreen=False | x=209 y=413 w=742 h=21
        ControlType.Header | Name="Header" | AutomationId="" | enabled=True | offscreen=False | x=209 y=142 w=783 h=32
          ControlType.SplitButton | Name="Name" | AutomationId="System.ItemNameDisplay" | enabled=True | offscreen=False | x=209 y=142 w=340 h=32
            ControlType.Button | Name="Filter dropdown" | AutomationId="DropDown" | enabled=True | offscreen=False | x=529 y=142 w=19 h=32
          ControlType.SplitButton | Name="Date modified" | AutomationId="System.DateModified" | enabled=True | offscreen=False | x=549 y=142 w=180 h=32
            ControlType.Button | Name="Filter dropdown" | AutomationId="DropDown" | enabled=True | offscreen=False | x=709 y=142 w=19 h=32
          ControlType.SplitButton | Name="Type" | AutomationId="System.ItemTypeText" | enabled=True | offscreen=False | x=729 y=142 w=150 h=32
            ControlType.Button | Name="Filter dropdown" | AutomationId="DropDown" | enabled=True | offscreen=False | x=859 y=142 w=19 h=32
          ControlType.SplitButton | Name="Size" | AutomationId="System.Size" | enabled=True | offscreen=False | x=879 y=142 w=100 h=32
            ControlType.Button | Name="Filter dropdown" | AutomationId="DropDown" | enabled=True | offscreen=True | x=959 y=142 w=19 h=32
        ControlType.Text | Name="No items match your search." | AutomationId="EmptyTextFocusable" | enabled=True | offscreen=False | x=209 y=182 w=742 h=42
    ControlType.Text | Name="File name:" | AutomationId="SaveDialogLabel" | enabled=True | offscreen=False | x=22 y=447 w=144 h=28
    ControlType.Pane | Name="File name:" | AutomationId="FileNameControlHost" | enabled=True | offscreen=False | x=166 y=447 w=779 h=28
      ControlType.Pane | Name="invoice_INV-1786639289136.pdf" | AutomationId="1001" | enabled=True | offscreen=False | x=169 y=450 w=752 h=22
    ControlType.Text | Name="Save as type:" | AutomationId="SaveDialogLabel" | enabled=True | offscreen=False | x=22 y=478 w=144 h=28
    ControlType.Pane | Name="Save as type:" | AutomationId="FileTypeControlHost" | enabled=True | offscreen=False | x=166 y=478 w=779 h=28
  ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=19 y=544 w=124 h=26
  ControlType.Pane | Name="Save" | AutomationId="1" | enabled=True | offscreen=False | x=695 y=537 w=110 h=33
  ControlType.Pane | Name="Cancel" | AutomationId="2" | enabled=True | offscreen=False | x=820 y=537 w=110 h=33
  ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=930 y=570 w=21 h=21
  ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=9 y=38 w=942 h=65
    ControlType.Pane | Name="" | AutomationId="40965" | enabled=True | offscreen=False | x=9 y=38 w=942 h=65
      ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=9 y=47 w=126 h=44
        ControlType.Pane | Name="Navigation buttons" | AutomationId="" | enabled=True | offscreen=False | x=14 y=50 w=121 h=41
      ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=135 y=46 w=45 h=45
        ControlType.Pane | Name="Up band" | AutomationId="" | enabled=True | offscreen=False | x=135 y=50 w=45 h=45
      ControlType.Pane | Name="" | AutomationId="41477" | enabled=True | offscreen=False | x=180 y=38 w=495 h=62
        ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=182 y=48 w=491 h=44
          ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=182 y=48 w=405 h=44
            ControlType.Pane | Name="Address: C:\Users\saber\AppData\Local\Temp\muaman-17w\pdf" | AutomationId="1001" | enabled=True | offscreen=False | x=190 y=48 w=397 h=44
          ControlType.Pane | Name="Address band" | AutomationId="" | enabled=True | offscreen=False | x=587 y=48 w=86 h=44
      ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=679 y=68 w=6 h=1
      ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=685 y=44 w=255 h=50
        ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=685 y=47 w=255 h=46
          ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=690 y=47 w=245 h=46
            ControlType.Edit | Name="Search Box" | AutomationId="SearchEditBox" | enabled=True | offscreen=False | x=692 y=60 w=198 h=20
            ControlType.Button | Name="Search" | AutomationId="SearchBoxSearchButton" | enabled=True | offscreen=False | x=894 y=47 w=38 h=46
      ControlType.Pane | Name="" | AutomationId="" | enabled=True | offscreen=False | x=944 y=68 w=7 h=1
