muaman_store|x=45 y=15 w=96 h=12
17866399O6864-lNV|x=55 y=262 w=171 h=13
19:51|x=55 y=296 w=43 h=13
2026/08/13|x=106 y=296 w=98 h=15
نقدي|x=54 y=329 w=40 h=21
17W|x=101 y=329 w=37 h=13
تجريبي|x=143 y=329 w=54 h=21
17Wميل|x=203 y=329 w=70 h=17
تجريبي|x=278 y=329 w=54 h=21
عميعميل|x=337 y=329 w=71 h=17
نقدي|x=54 y=361 w=40 h=21
100ج.ح|x=54 y=527 w=63 h=20
P•C1OOxl|x=54 y=552 w=71 h=15
ج.|x=54 y=651 w=35 h=20
IOO|x=97 y=645 w=37 h=17
PDF|x=221 y=735 w=30 h=13
مح|x=255 y=735 w=28 h=20
الفاتورة|x=670 y=61 w=85 h=28
عرض|x=764 y=64 w=66 h=25
PDF|x=701 y=735 w=30 h=13
حفظ|x=737 y=735 w=33 h=13
ل|x=784 y=730 w=23 h=21
مؤمن|x=1336 y=159 w=56 h=23
محل|x=1400 y=160 w=45 h=22
الفاتورة|x=1366 y=259 w=50 h=17
رقم|x=1422 y=263 w=23 h=16
العميل|x=1397 y=327 w=48 h=17
الدفع|x=1362 y=361 w=35 h=20
طربفقه|x=1404 y=361 w=42 h=17
الأصناف|x=1354 y=390 w=59 h=16
عدد|x=1420 y=397 w=26 h=9
المنتحات|x=1374 y=487 w=71 h=13
17W|x=1299 y=529 w=38 h=13
اختبار|x=1341 y=529 w=43 h=17
منتج|x=1390 y=531 w=38 h=18
الفاتورة|x=1323 y=646 w=60 h=18
إجمالي|x=1390 y=646 w=56 h=22
طباعة|x=1199 y=732 w=40 h=18
