store|x=109 y=15 w=32 h=10
النظاح|x=675 y=260 w=76 h=34
إعداد|x=761 y=260 w=65 h=30
الأول|x=638 y=304 w=34 h=21
المالك|x=678 y=307 w=46 h=13
حسا|x=730 y=307 w=48 h=13
إنشاء|x=783 y=307 w=38 h=19
يرجى|x=826 y=313 w=35 h=12
الاسم|x=1320 y=379 w=44 h=22
ي|x=1381 y=377 w=21 h=20
المستخدم|x=1243 y=459 w=84 h=22
اسم|x=1333 y=454 w=71 h=27
المرور|x=1272 y=540 w=50 h=18
كلمة|x=1328 y=540 w=36 h=13
ق|x=1381 y=533 w=20 h=26
المرور|x=1225 y=620 w=48 h=18
كلمة|x=1282 y=620 w=37 h=13
تأكيد|x=1325 y=615 w=38 h=23
ق|x=1380 y=613 w=22 h=27
المالك|x=671 y=710 w=50 h=14
حسا|x=728 y=710 w=54 h=14
إنشاء|x=788 y=710 w=42 h=21
